Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan
21,,5,,,-,,,,,,,,,,
21,,6,,,-,,,,,,,,,,
21,,7,,,-,,,,,,,,,,
21,,8,,,-,,,,,,,,,,
21,,9,,,-,,,,,,,,,,
21,,10,,,-,,,,,,,,,,
21,,11,,,-,,,,,,,,,,
21,2,1,,,-,,,,,,,,,,
21,3,1,,,-,,,,,,,,,,
21,,2,,,-,,,,,,,,,,
21,,3,,,-,,,,,,,,,,
21,,4,,,-,,,,,,,,,,
22,1,1,,,-,,,,,,,,,,
22,,2,,,-,,,,,,,,,,
22,,3,,,-,,,,,,,,,,
22,,4,,,-,,,,,,,,,,
22,,5,,,-,,,,,,,,,,
22,,6,,,-,,,,,,,,,,
22,,7,,,-,,,,,,,,,,
22,,8,,,-,,,,,,,,,,
22,,9,,,-,,,,,,,,,,
22,,10,,,-,,,,,,,,,,
22,,11,,,-,,,,,,,,,,
22,,12,,,-,,,,,,,,,,
22,,13,,,-,,,,,,,,,,
22,,14,,,-,,,,,,,,,,
23,1,1,,,-,,,,,,,,,,
23,,2,,,-,,,,,,,,,,
23,,3,,,-,,,,,,,,,,
23,,4,,,-,,,,,,,,,,
23,,5,,,-,,,,,,,,,,
23,,6,,,-,,,,,,,,,,
23,,7,,,-,,,,,,,,,,
23,,8,,,-,,,,,,,,,,
23,,9,,,-,,,,,,,,,,
24,1,1,,,-,,,,,,,,,,
24,,2,,,-,,,,,,,,,,
24,2,1,,,-,,,,,,,,,,
24,,2,,,-,,,,,,,,,,
24,,3,,,-,,,,,,,,,,
24,,4,,,-,,,,,,,,,,
24,3,1,,,-,,,,,,,,,,
24,,2,,,-,,,,,,,,,,
24,,3,,,-,,,,,,,,,,
24,,4,,,-,,,,,,,,,,
24,,5,,,-,,,,,,,,,,
24,,6,,,-,,,,,,,,,,
24,,7,,,-,,,,,,,,,,
24,,8,,,-,,,,,,,,,,
24,,9,,,-,,,,,,,,,,
24,,10,,,-,,,,,,,,,,
24,,11,,,-,,,,,,,,,,
24,,12,,,-,,,,,,,,,,
24,,13,,,-,,,,,,,,,,
25,1,1,,,-,,,,,,,,,,
25,,2,,,-,,,,,,,,,,
25,,3,,,-,,,,,,,,,,
25,,4,,,-,,,,,,,,,,
25,,5,,,-,,,,,,,,,,
25,,6,,,-,,,,,,,,,,
25,,7,,,-,,,,,,,,,,
25,2,1,,,-,,,,,,,,,,
25,,2,,,-,,,,,,,,,,
25,,3,,,-,,,,,,,,,,
25,,4,,,-,,,,,,,,,,
25,,5,,,-,,,,,,,,,,
25,,6,,,-,,,,,,,,,,
25,,7,,,-,,,,,,,,,,
25,,8,,,-,,,,,,,,,,
25,3,1,,,-,,,,,,,,,,
25,,2,,,-,,,,,,,,,,
25,,3,,,-,,,,,,,,,,
25,,4,,,-,,,,,,,,,,
25,,5,,,-,,,,,,,,,,
26,1,1,,,-,,,,,,,,,,
26,,2,,,-,,,,,,,,,,
26,,3,,,-,,,,,,,,,,
26,,4,,,-,,,,,,,,,,
26,,5,,,-,,,,,,,,,,
26,,6,,,-,,,,,,,,,,
26,,7,,,-,,,,,,,,,,
26,2,1,,,-,,,,,,,,,,
26,,2,,,-,,,,,,,,,,
26,,3,,,-,,,,,,,,,,
26,3,1,,,-,,,,,,,,,,
26,,2,,,-,,,,,,,,,,
26,,3,,,-,,,,,,,,,,
27,1,1,,,-,,,,,,,,,,
27,,2,,,-,,,,,,,,,,
27,2,1,,,-,,,,,,,,,,
27,3,1,,,-,,,,,,,,,,
27,,2,,,-,,,,,,,,,,
27,,3,,,-,,,,,,,,,,
27,4,1,,,-,,,,,,,,,,
27,,2,,,-,,,,,,,,,,
27,,3,,,-,,,,,,,,,,
27,,4,,,-,,,,,,,,,,
27,,5,,,-,,,,,,,,,,
27,,6,,,-,,,,,,,,,,
27,,7,,,-,,,,,,,,,,
28,1,1,,,-,,,,,,,,,,
28,,2,,,-,,,,,,,,,,
28,2,1,,,-,,,,,,,,,,
28,,2,,,-,,,,,,,,,,
28,3,1,,,-,,,,,,,,,,
28,,2,,,-,,,,,,,,,,
28,,3,,,-,,,,,,,,,,
28,,4,,,-,,,,,,,,,,
28,,5,,,-,,,,,,,,,,
28,,6,,,-,,,,,,,,,,
28,,7,,,-,,,,,,,,,,
28,4,1,,,-,,,,,,,,,,
28,,2,,,-,,,,,,,,,,
28,,3,,,-,,,,,,,,,,
29,1,1,,,-,,,,,,,,,,
29,,2,,,-,,,,,,,,,,
29,,3,,,-,,,,,,,,,,
29,,4,,,-,,,,,,,,,,
29,,5,,,-,,,,,,,,,,
29,,6,,,-,,,,,,,,,,
29,,7,,,-,,,,,,,,,,
29,,8,,,-,,,,,,,,,,
29,,9,,,-,,,,,,,,,,
29,,10,,,-,,,,,,,,,,
29,2,1,,,-,,,,,,,,,,
29,,2,,,-,,,,,,,,,,
29,,3,,,-,,,,,,,,,,
29,,4,,,-,,,,,,,,,,
29,3,1,,,-,,,,,,,,,,
29,,2,,,-,,,,,,,,,,
29,,3,,,-,,,,,,,,,,
29,,4,,,-,,,,,,,,,,
29,,5,,,-,,,,,,,,,,
