Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan
https://www.cisguanabara.unicamp.br/,0.0,1.0,Unimed Campinas realiza primeira edição do programa Mude1Hábito,,,,,,,,,,,,
https://www.cisguanabara.unicamp.br/,1.0,1.0,Sobre o CIS-Guanabara,,,,,,,,,,,,
https://www.cisguanabara.unicamp.br/,2.0,1.0,Acontece,,,,,,,,,,,,
https://www.cisguanabara.unicamp.br/,3.0,1.0,Feira de Discos de Campinas,,,,,,,,,,,,
https://www.cisguanabara.unicamp.br/,4.0,1.0,K-Folia Carnaval,,,,,,,,,,,,
https://www.cisguanabara.unicamp.br/,5.0,1.0,32° Encontro do Urban Sketchers Campinas no CIS-Guanabara,,,,,,,,,,,,
https://www.cisguanabara.unicamp.br/,6.0,1.0,Pré-Carnaval no CIS-Guanabara,,,,,,,,,,,,
https://www.cisguanabara.unicamp.br/,7.0,1.0,Audiência pública discute financiamento da Extensão Universitária na Comissão de Educação da Câmara ,,,,,,,,,,,,
https://www.cisguanabara.unicamp.br/,8.0,1.0,Proec divulga classificação preliminar do edital de apoio para os Colégios Técnicos,,,,,,,,,,,,
https://www.cisguanabara.unicamp.br/,9.0,1.0,Primeiro Fórum Permanente da série dos 20 anos debate ciência aberta,,,,,,,,,,,,
https://www.cisguanabara.unicamp.br/,10.0,1.0,Domingo no Lago aborda temática do meio ambiente e traz Big Band da Unicamp,,,,,,,,,,,,
https://www.cisguanabara.unicamp.br/,11.0,1.0,ProEC Vídeos,,,,,,,,,,,,
https://www.cisguanabara.unicamp.br/,12.0,1.0,CIS Guanabara,,,,,,,,,,,,
https://www.cisguanabara.unicamp.br/,13.0,1.0,Localização,,,,,,,,,,,,
https://www.cisguanabara.unicamp.br/,14.0,1.0,Redes Sociais,,,,,,,,,,,,
https://www.cisguanabara.unicamp.br/,15.0,1.0,Evento em comemoração ao Dia Mundial da Saúde ocorre no dia 16 de abril a partir das 8h.,,,,,,,,,,,,
https://www.cisguanabara.unicamp.br/,16.0,1.0,"O CIS-GUANABARA é um Centro Cultural de Inclusão e Integração Social criado, vinculado e mantido pela Pró-Reitoria de Extensão e Cultura (PROEC) da Universidade estadual de Campinas (UNICAMP).",,,,,,,,,,,,
https://www.cisguanabara.unicamp.br/,16.0,2.0,"Trata-se de um espaço público tombado como patrimônio histórico e cultural da cidade de Campinas, posto sob cuidados da Universidade.",,,,,,,,,,,,
https://www.cisguanabara.unicamp.br/,16.0,3.0,O CIS Guanabara é composto pelo conjunto arquitetônico recuperado da antiga Estação Guanabara.,,,,,,,,,,,,
