URL,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp.  Elan,Rev. Elan
http://portal.proec.unicamp.br/assessores/,0,Pular para o conteúdo,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,1,"PROEC

SOBRE A PROEC
PRÓ-REITOR DE EXTENSÃO E CULTURA
ASSESSORES
ASSISTENTES TÉCNICOS
PROJETOS ESTRATÉGICOS

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,2,PROEC,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,3,SOBRE A PROEC,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,4,PRÓ-REITOR DE EXTENSÃO E CULTURA,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,5,ASSESSORES,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,6,ASSISTENTES TÉCNICOS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,7,PROJETOS ESTRATÉGICOS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,8,"DIRETORIAS

CULTURA
EXTENSÃO

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,9,DIRETORIAS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,10,CULTURA,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,11,EXTENSÃO,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,12,"APOIO

ADMINISTRATIVO
COMUNICAÇÃO
MIDIALOGIA

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,13,APOIO,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,14,ADMINISTRATIVO,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,15,COMUNICAÇÃO,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,16,MIDIALOGIA,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,17,"CONSELHOS

CONCULT

",,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,18,CONSELHOS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,19,CONCULT,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,20,CONTATOS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,21, Palavras-chave populares,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,22,Categorias ,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,23,"
					Total  Resultados				",,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,24,Nenhum Registro Encontrado,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,25,Ver todos os resultados,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,26,EXTENSÃO E CULTURA,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,27,BOLSAS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,28,EDITAIS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,29,EVENTOS,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,30,Assessores da ProEC,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,31,Assessor de pró-reitor de Extensão e Cultura é responsável por fornecer apoio direto ao pró-reitor em questões relacionadas à extensão universitária e à cultura em uma universidade ou instituição de ensino superior.,,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,32,"Em resumo, o assessor de pró-reitor de Extensão e Cultura é um profissional que desempenha um papel importante na gestão de programas e ações voltados para a promoção da cidadania, da inclusão social e do desenvolvimento regional, por meio de projetos e ações de extensão e cultura promovidos pela universidade.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,33,"
						Prof.",,,,,,,,,,,,,
http://portal.proec.unicamp.br/assessores/,34,Dr.,,,,,,,,,,,,,
