URL,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,ElanResp.  Elan,Rev. Elan
https://www.proec.unicamp.br/sobre,0,"

",,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,1,"

",,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,2,#SomosPROEC,,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,3,,,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,4,"
Home
",,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,5,Home,,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,6,"
Renex
",,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,7,Renex,,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,8,"
Equipe
",,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,9,Equipe,,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,10,"

							Diretorias
						

Administrativa
Comunicação
Cultura

DCult
Centro de Convenções
Casa do Lago
CIS Guanabara
Ginásio Multidisciplinar
Museu de Artes Visuais
Museu Exploratório de Ciências


Extensão

DExt
DProj

DProj
Malunga
ITCP
Projeto Rondon


Extecamp
UniversIDADE


Extensão 48
Fóruns Permanentes
Informática

",,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,11,"
							Diretorias
						",,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,12,Administrativa,,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,13,Administrativa,,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,14,Comunicação,,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,15,Comunicação,,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,16,"Cultura

DCult
Centro de Convenções
Casa do Lago
CIS Guanabara
Ginásio Multidisciplinar
Museu de Artes Visuais
Museu Exploratório de Ciências

",,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,17,Cultura,,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,18,DCult,,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,19,DCult,,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,20,Centro de Convenções,,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,21,Centro de Convenções,,,,,,,,,,,,
https://www.proec.unicamp.br/sobre,22,Casa do Lago,,,,,,,,,,,,
