URL,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,ElanResp.  Elan,Rev. Elan
https://www.proec.unicamp.br/paginas/logotipos,0,"

",,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,1,"

",,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,2,#SomosPROEC,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,3,,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,4,"
Home
",,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,5,Home,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,6,"
Renex
",,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,7,Renex,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,8,"
Equipe
",,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,9,Equipe,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,10,"

							Diretorias
						

Administrativa
Comunicação
Cultura

DCult
Centro de Convenções
Casa do Lago
CIS Guanabara
Ginásio Multidisciplinar
Museu de Artes Visuais
Museu Exploratório de Ciências


Extensão

DExt
DProj

DProj
Malunga
ITCP
Projeto Rondon


Extecamp
UniversIDADE


Extensão 48
Fóruns Permanentes
Informática

",,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,11,"
							Diretorias
						",,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,12,Administrativa,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,13,Administrativa,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,14,Comunicação,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,15,Comunicação,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,16,"Cultura

DCult
Centro de Convenções
Casa do Lago
CIS Guanabara
Ginásio Multidisciplinar
Museu de Artes Visuais
Museu Exploratório de Ciências

",,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,17,Cultura,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,18,DCult,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,19,DCult,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,20,Centro de Convenções,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,21,Centro de Convenções,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,22,Casa do Lago,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,23,Casa do Lago,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,24,CIS Guanabara,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,25,CIS Guanabara,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,26,Ginásio Multidisciplinar,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,27,Ginásio Multidisciplinar,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,28,Museu de Artes Visuais,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,29,Museu de Artes Visuais,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,30,Museu Exploratório de Ciências,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,31,Museu Exploratório de Ciências,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,32,"Extensão

DExt
DProj

DProj
Malunga
ITCP
Projeto Rondon


Extecamp
UniversIDADE

",,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,33,Extensão,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,34,DExt,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,35,DExt,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,36,"DProj

DProj
Malunga
ITCP
Projeto Rondon

",,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,37,DProj,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,38,DProj,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,39,DProj,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,40,Malunga,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,41,Malunga,,,,,,,,,,,,
https://www.proec.unicamp.br/paginas/logotipos,42,ITCP,,,,,,,,,,,,
