URL,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,ElanResp.  Elan,Rev. Elan
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,0,"

",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,1,"

",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,2,#SomosPROEC,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,3,,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,4,"
Home
",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,5,Home,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,6,"
Renex
",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,7,Renex,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,8,"
Equipe
",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,9,Equipe,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,10,"

							Diretorias
						

Administrativa
Comunicação
Cultura

DCult
Centro de Convenções
Casa do Lago
CIS Guanabara
Ginásio Multidisciplinar
Museu de Artes Visuais
Museu Exploratório de Ciências


Extensão

DExt
DProj

DProj
Malunga
ITCP
Projeto Rondon


Extecamp
UniversIDADE


Extensão 48
Fóruns Permanentes
Informática

",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,11,"
							Diretorias
						",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,12,Administrativa,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,13,Administrativa,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,14,Comunicação,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,15,Comunicação,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,16,"Cultura

DCult
Centro de Convenções
Casa do Lago
CIS Guanabara
Ginásio Multidisciplinar
Museu de Artes Visuais
Museu Exploratório de Ciências

",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,17,Cultura,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,18,DCult,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,19,DCult,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,20,Centro de Convenções,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,21,Centro de Convenções,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,22,Casa do Lago,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,23,Casa do Lago,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,24,CIS Guanabara,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,25,CIS Guanabara,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,26,Ginásio Multidisciplinar,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/12a-mostra-ecofalante-de-cinema-acontece-em-sao-paulo,27,Ginásio Multidisciplinar,,,,,,,,,,,,
