URL,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,ElanResp.  Elan,Rev. Elan
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,0,"

",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,1,"

",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,2,#SomosPROEC,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,3,,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,4,"
Home
",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,5,Home,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,6,"
Renex
",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,7,Renex,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,8,"
Equipe
",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,9,Equipe,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,10,"

							Diretorias
						

Administrativa
Comunicação
Cultura

DCult
Centro de Convenções
Casa do Lago
CIS Guanabara
Ginásio Multidisciplinar
Museu de Artes Visuais
Museu Exploratório de Ciências


Extensão

DExt
DProj

DProj
Malunga
ITCP
Projeto Rondon


Extecamp
UniversIDADE


Extensão 48
Fóruns Permanentes
Informática

",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,11,"
							Diretorias
						",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,12,Administrativa,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,13,Administrativa,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,14,Comunicação,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,15,Comunicação,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,16,"Cultura

DCult
Centro de Convenções
Casa do Lago
CIS Guanabara
Ginásio Multidisciplinar
Museu de Artes Visuais
Museu Exploratório de Ciências

",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,17,Cultura,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,18,DCult,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,19,DCult,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,20,Centro de Convenções,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,21,Centro de Convenções,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,22,Casa do Lago,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,23,Casa do Lago,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,24,CIS Guanabara,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,25,CIS Guanabara,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,26,Ginásio Multidisciplinar,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,27,Ginásio Multidisciplinar,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,28,Museu de Artes Visuais,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,29,Museu de Artes Visuais,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,30,Museu Exploratório de Ciências,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,31,Museu Exploratório de Ciências,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,32,"Extensão

DExt
DProj

DProj
Malunga
ITCP
Projeto Rondon


Extecamp
UniversIDADE

",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,33,Extensão,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,34,DExt,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,35,DExt,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,36,"DProj

DProj
Malunga
ITCP
Projeto Rondon

",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,37,DProj,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,38,DProj,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,39,DProj,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,40,Malunga,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,41,Malunga,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,42,ITCP,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/dia-do-desafio-1,43,ITCP,,,,,,,,,,,,
